professor,projeto,resumo
ADRIANA BORDINI,ExpPC Explorando o Pensamento Computacional para a Qualificação do Ensino Fundamental,ExpPC Explorando o Pensamento Computacional para a Qualificação do Ensino Fundamental
ADRIANA BORDINI,ExpPC Explorando o Pensamento Computacional para a Qualificação do Ensino Fundamental,Extensão
ADRIANA BORDINI,ExpPC Explorando o Pensamento Computacional para a Qualificação do Ensino Fundamental,02/01/2017 - 30/12/2028
ADRIANA BORDINI,ExpPC Explorando o Pensamento Computacional para a Qualificação do Ensino Fundamental,Centro de Desenvolvimento Tecnológico
ADRIANA BORDINI,ExpPC Explorando o Pensamento Computacional para a Qualificação do Ensino Fundamental,SIMONE ANDRE DA COSTA CAVALHEIRO
ADRIANA BORDINI,ExpPC Explorando o Pensamento Computacional para a Qualificação do Ensino Fundamental,Ciências Exatas e da Terra
ADRIANA BORDINI,ExpPC Explorando o Pensamento Computacional para a Qualificação do Ensino Fundamental,Educação / Tecnologia e Produção
ADRIANA BORDINI,ExpPC Explorando o Pensamento Computacional para a Qualificação do Ensino Fundamental,Metodologias e estratégias de ensino/aprendizagem
ADRIANA BORDINI,ExpPC Explorando o Pensamento Computacional para a Qualificação do Ensino Fundamental,"A falta de profissionais bem formados e de mão de obra qualificada é uma realidade no Brasil. A globalização econômica e as inovações tecnológicas mudaram o perfil do profissional requerido pelos diversos setores da economia. Um trabalhador é cobrado por seu conhecimento, desempenho, colaboração, criatividade, pensamento crítico, responsabilidade e capacidade de solucionar problemas. Concomitante a esta realidade, surge o Pensamento Computacional como uma metodologia para resolver problemas capaz de desenvolver muitas das habilidades requeridas hoje pelo mercado de trabalho. Pensamento Computacional é um método para solução de problemas que utiliza como base os fundamentos e técnicas da ciência da computação. De forma geral, habilidades comumente utilizadas na criação de programas computacionais para resolver problemas específicos são utilizadas como uma metodologia para resolver problemas de forma geral. Empresas multinacionais apoiaram esta ideia e se empenharam na disseminação desta metodologia. Diante destas experiências e dos resultados científicos já atingidos neste ramo, este projeto propõe o desenvolvimento de ações para promover o Pensamento Computacional em escolas do Ensino Fundamental do município de Pelotas, como resposta a necessidade de preparar os estudantes de hoje para o mercado de trabalho atual e futuro."
ADRIANA BORDINI,ExpPC Explorando o Pensamento Computacional para a Qualificação do Ensino Fundamental,ExpPC Explorando o Pensamento Computacional para a Qualificação do Ensino Fundamental
