codigo,titulo,semestre,codigo_disciplina,nome_disciplina,professor,vagas_disciplina,vagas_disponiveis
5700,Biotecnologia  (Bacharelado),2º Semestre,22000445,BIOTECNOLOGIA AMBIENTAL,MARIANA HÄRTER REMIÃO,35,28
5700,Biotecnologia  (Bacharelado),2º Semestre,22000445,BIOTECNOLOGIA AMBIENTAL,,35,28
5700,Biotecnologia  (Bacharelado),2º Semestre,22000442,CULTURA DE CÉLULAS E TECIDOS VEGETAIS,LUCIANA BICCA DODE,15,15
5700,Biotecnologia  (Bacharelado),2º Semestre,22000442,CULTURA DE CÉLULAS E TECIDOS VEGETAIS,,15,15
5700,Biotecnologia  (Bacharelado),2º Semestre,22000442,CULTURA DE CÉLULAS E TECIDOS VEGETAIS,LUCIANA BICCA DODE,15,14
5700,Biotecnologia  (Bacharelado),2º Semestre,22000442,CULTURA DE CÉLULAS E TECIDOS VEGETAIS,,15,14
5700,Biotecnologia  (Bacharelado),2º Semestre,22000447,EMBRIOLOGIA MOLECULAR,MARTA GONCALVES AMARALMARIANA HÄRTER REMIÃO,35,24
5700,Biotecnologia  (Bacharelado),2º Semestre,22000447,EMBRIOLOGIA MOLECULAR,,35,24
5700,Biotecnologia  (Bacharelado),2º Semestre,22000448,FISIOBIOTECNOLOGIA,LUCIELLI SAVEGNAGO,40,24
5700,Biotecnologia  (Bacharelado),2º Semestre,22000448,FISIOBIOTECNOLOGIA,,40,24
5700,Biotecnologia  (Bacharelado),2º Semestre,22000443,GENÔMICA II,SIBELE BORSUKFABIANA KOMMLING SEIXAS,35,27
5700,Biotecnologia  (Bacharelado),2º Semestre,22000443,GENÔMICA II,,35,27
5700,Biotecnologia  (Bacharelado),2º Semestre,22000444,IMUNOBIOLOGIA,FABRICIO ROCHEDO CONCEICAO,16,16
5700,Biotecnologia  (Bacharelado),2º Semestre,22000444,IMUNOBIOLOGIA,,16,16
5700,Biotecnologia  (Bacharelado),2º Semestre,22000444,IMUNOBIOLOGIA,FABRICIO ROCHEDO CONCEICAO,17,17
5700,Biotecnologia  (Bacharelado),2º Semestre,22000444,IMUNOBIOLOGIA,,17,17
5700,Biotecnologia  (Bacharelado),2º Semestre,22000441,PROTEÔMICA,LUCIANO DA SILVA PINTO,18,18
5700,Biotecnologia  (Bacharelado),2º Semestre,22000441,PROTEÔMICA,,18,18
5700,Biotecnologia  (Bacharelado),2º Semestre,22000441,PROTEÔMICA,LUCIANO DA SILVA PINTO,18,11
5700,Biotecnologia  (Bacharelado),2º Semestre,22000441,PROTEÔMICA,,18,11
5700,Biotecnologia  (Bacharelado),4º Semestre,22000445,BIOTECNOLOGIA AMBIENTAL,MARIANA HÄRTER REMIÃO,35,28
5700,Biotecnologia  (Bacharelado),4º Semestre,22000445,BIOTECNOLOGIA AMBIENTAL,,35,28
5700,Biotecnologia  (Bacharelado),4º Semestre,22000442,CULTURA DE CÉLULAS E TECIDOS VEGETAIS,LUCIANA BICCA DODE,15,15
5700,Biotecnologia  (Bacharelado),4º Semestre,22000442,CULTURA DE CÉLULAS E TECIDOS VEGETAIS,,15,15
5700,Biotecnologia  (Bacharelado),4º Semestre,22000442,CULTURA DE CÉLULAS E TECIDOS VEGETAIS,LUCIANA BICCA DODE,15,14
5700,Biotecnologia  (Bacharelado),4º Semestre,22000442,CULTURA DE CÉLULAS E TECIDOS VEGETAIS,,15,14
5700,Biotecnologia  (Bacharelado),4º Semestre,22000447,EMBRIOLOGIA MOLECULAR,MARTA GONCALVES AMARALMARIANA HÄRTER REMIÃO,35,24
5700,Biotecnologia  (Bacharelado),4º Semestre,22000447,EMBRIOLOGIA MOLECULAR,,35,24
